date,revenue,orders,aov
2017-12-16,1619893.619999999,135,11999.211999999992
2017-12-17,1545480.0899999994,139,11118.561798561146
2017-12-18,2337574.409999998,220,10625.338227272718
2017-12-19,1643489.0999999996,185,8883.724864864862
2017-12-20,2155141.5299999975,174,12385.87086206895
2017-12-21,1477659.2399999984,149,9917.17610738254
2017-12-22,1146563.5499999996,115,9970.117826086953
2017-12-23,939402.2699999994,105,8946.688285714281
2017-12-24,450897.29999999964,60,7514.954999999994
2017-12-25,801784.5299999997,90,8908.716999999997
2017-12-26,1627336.349999999,172,9461.257848837204
2017-12-27,1406231.819999999,176,7989.953522727266
2017-12-28,1186029.449999999,152,7802.825328947362
2017-12-29,1288908.9000000001,143,9013.348951048953
2017-12-30,1056694.6800000002,107,9875.651214953272
2017-12-31,679705.5599999998,72,9440.354999999998
2018-01-01,555157.5299999997,77,7209.838051948048
2018-01-02,2022242.9399999985,211,9584.08976303317
2018-01-03,2517976.979999998,233,10806.76815450643
2018-01-04,2767305.329999999,264,10482.217159090906
2018-01-05,2098215.9899999993,212,9897.245235849054
2018-01-06,2232835.469999998,226,9879.80296460176
2018-01-07,2280986.009999998,199,11462.241256281397
2018-01-08,3062930.309999997,303,10108.680891089098
2018-01-09,2415358.8899999997,259,9325.71
2018-01-10,3017049.9299999974,284,10623.415246478864
2018-01-11,3228004.529999998,269,12000.016840148692
2018-01-12,2436538.4999999977,251,9707.32470119521
2018-01-13,2211439.8599999975,217,10190.967096774182
2018-01-14,2487416.4899999974,246,10111.449146341452
2018-01-15,3059327.6099999966,314,9743.081560509543
2018-01-16,3423345.209999996,312,10972.260288461524
2018-01-17,2863383.9299999974,294,9739.401122448971
2018-01-18,2246619.509999998,255,8810.272588235286
2018-01-19,2191100.939999998,235,9323.833787234034
2018-01-20,1786896.3599999982,190,9404.717684210516
2018-01-21,1761717.3299999977,199,8852.850904522602
2018-01-22,2985247.8899999973,315,9476.97742857142
2018-01-23,2777178.0599999977,269,10324.082007434936
2018-01-24,2490353.9099999983,251,9921.728725099594
2018-01-25,2338068.149999999,244,9582.246516393438
2018-01-26,2715855.2099999986,233,11656.030944206002
2018-01-27,1740126.9599999988,159,10944.194716981125
2018-01-28,1833031.9799999986,162,11315.012222222213
2018-01-29,2429430.209999997,252,9640.59607142856
2018-01-30,2325956.3099999977,266,8744.19665413533
2018-01-31,2600527.409999999,258,10079.563604651159
2018-02-01,2420932.769999999,239,10129.425815899578
2018-02-02,2191642.4699999983,219,10007.49986301369
2018-02-03,1837370.0699999984,198,9279.64681818181
2018-02-04,1903873.5899999994,209,9109.443014354065
2018-02-05,2874588.209999997,278,10340.24535971222
2018-02-06,2717128.979999997,280,9704.03207142856
2018-02-07,2499948.269999997,254,9842.316023622036
2018-02-08,2217554.8199999984,244,9088.339426229502
2018-02-09,2448292.0499999975,215,11387.40488372092
2018-02-10,1670632.5599999984,190,8792.802947368413
2018-02-11,1784130.0299999993,181,9857.071988950272
2018-02-12,1881286.2899999989,226,8324.275619469021
2018-02-13,1868512.409999999,229,8159.442838427944
2018-02-14,2960749.8899999987,298,9935.402315436237
2018-02-15,2535621.9299999992,278,9120.942194244602
2018-02-16,2171941.289999998,234,9281.800384615377
2018-02-17,1983861.8099999991,206,9630.397135922325
2018-02-18,1953762.66,206,9484.284757281554
2018-02-19,2239165.2599999984,260,8612.174076923071
2018-02-20,2942436.689999996,301,9775.537176079722
2018-02-21,2550670.2899999977,277,9208.195992779774
2018-02-22,2412933.749999999,281,8586.952846975086
2018-02-23,2290453.109999997,238,9623.752563025198
2018-02-24,1948485.1499999978,197,9890.787563451766
2018-02-25,2291482.3499999987,235,9750.988723404249
2018-02-26,3513886.6499999985,296,11871.238682432428
2018-02-27,3245686.6499999966,303,10711.83712871286
2018-02-28,3590182.979999996,315,11397.406285714273
2018-03-01,3151360.169999999,281,11214.804875444835
2018-03-02,2547214.5599999977,273,9330.456263736256
2018-03-03,2095301.1599999974,215,9745.586790697662
2018-03-04,2499909.4799999967,239,10459.872301255216
2018-03-05,2988465.659999996,269,11109.537769516714
2018-03-06,3091405.4999999977,280,11040.73392857142
2018-03-07,2876234.039999998,266,10812.909924812024
2018-03-08,2234476.619999999,239,9349.274560669453
2018-03-09,2190568.4099999988,209,10481.188564593296
2018-03-10,2036465.009999999,189,10774.947142857138
2018-03-11,2525686.6499999976,229,11029.199344978155
2018-03-12,2440636.2899999986,235,10385.686340425525
2018-03-13,2777167.4399999953,222,12509.763243243222
2018-03-14,1828176.1199999985,208,8789.308269230762
2018-03-15,3382532.9999999967,285,11868.536842105252
2018-03-16,2573271.6299999966,250,10293.086519999986
2018-03-17,1598581.9799999974,183,8735.420655737691
2018-03-18,2489726.339999998,226,11016.488230088487
2018-03-19,3503979.629999998,303,11564.289207920785
2018-03-20,2838381.4799999953,298,9524.770067114077
2018-03-21,3171527.4599999967,283,11206.810812720836
2018-03-22,2462392.3499999987,259,9507.306370656366
2018-03-23,2167147.979999999,216,10033.092499999995
2018-03-24,1908409.5899999985,174,10967.871206896543
2018-03-25,2056122.989999999,202,10178.826683168312
2018-03-26,2834280.359999997,276,10269.131739130424
2018-03-27,2733691.589999997,250,10934.766359999989
2018-03-28,2175787.4399999976,224,9713.336785714275
2018-03-29,2289089.7899999986,197,11619.745126903546
2018-03-30,1774767.8699999982,173,10258.773815028891
2018-03-31,1982197.1699999988,175,11326.840971428564
2018-04-01,2310696.629999998,209,11055.964736842096
2018-04-02,3176039.969999997,285,11143.999894736831
2018-04-03,2929747.139999997,256,11444.324765624988
2018-04-04,2947445.6399999973,260,11336.329384615374
2018-04-05,2897322.7499999977,267,10851.396067415722
2018-04-06,2154622.5899999994,193,11163.847616580308
2018-04-07,2013188.6699999985,167,12055.021976047896
2018-04-08,1874373.6599999988,187,10023.388556149726
2018-04-09,3966242.9399999958,261,15196.33310344826
2018-04-10,2230892.0999999996,210,10623.295714285712
2018-04-11,3108168.6299999985,273,11385.233076923072
2018-04-12,2750264.2799999984,263,10457.2786311787
2018-04-13,2379738.419999998,202,11780.883267326722
